DataFrame,Pair,Count,Percentage (%),Total Rows
data_complete,"(6, 36)",25,1.15,2175
data_complete,"(27, 46)",24,1.1,2175
data_complete,"(8, 34)",24,1.1,2175
data_complete,"(9, 27)",23,1.06,2175
data_complete,"(25, 57)",23,1.06,2175
data_mon,"(1, 8)",8,1.87,428
data_mon,"(20, 46)",8,1.87,428
data_mon,"(8, 15)",8,1.87,428
data_mon,"(1, 52)",8,1.87,428
data_mon,"(26, 50)",8,1.87,428
data_tues,"(30, 41)",7,2.3,305
data_tues,"(14, 15)",6,1.97,305
data_tues,"(10, 14)",6,1.97,305
data_tues,"(10, 26)",6,1.97,305
data_tues,"(8, 57)",6,1.97,305
data_wed,"(37, 56)",8,2.62,305
data_wed,"(17, 21)",7,2.3,305
data_wed,"(44, 46)",7,2.3,305
data_wed,"(13, 44)",6,1.97,305
data_wed,"(7, 30)",6,1.97,305
data_thur,"(15, 35)",9,2.1,428
data_thur,"(50, 51)",8,1.87,428
data_thur,"(47, 55)",8,1.87,428
data_thur,"(4, 47)",8,1.87,428
data_thur,"(9, 25)",8,1.87,428
data_fri,"(28, 56)",8,2.62,305
data_fri,"(40, 60)",8,2.62,305
data_fri,"(43, 51)",7,2.3,305
data_fri,"(20, 40)",7,2.3,305
data_fri,"(27, 39)",7,2.3,305
data_sat,"(8, 34)",8,2.63,304
data_sat,"(17, 23)",8,2.63,304
data_sat,"(39, 60)",7,2.3,304
data_sat,"(5, 14)",6,1.97,304
data_sat,"(25, 41)",6,1.97,304
data_sun,"(6, 36)",7,2.3,304
data_sun,"(12, 34)",7,2.3,304
data_sun,"(2, 26)",6,1.97,304
data_sun,"(2, 8)",6,1.97,304
data_sun,"(16, 57)",6,1.97,304
